n,machine_id,round,workload
160000,4,8,99
160000,4,9,62
160000,4,10,86
160000,4,11,66
160000,4,12,61
160000,4,13,43
160000,4,14,56
160000,4,15,41
160000,4,16,49
160000,4,17,27
160000,4,18,18
160000,4,19,11
160000,4,20,15
160000,4,21,4
160000,4,22,1
160000,4,23,1
160000,5,1,15
160000,5,2,35
160000,5,3,43
160000,5,4,60
160000,5,5,74
160000,5,6,83
160000,5,7,99
160000,5,8,82
160000,5,9,81
160000,5,10,95
160000,5,11,84
160000,5,12,53
160000,5,13,42
160000,5,14,51
160000,5,15,28
160000,5,16,21
160000,5,17,21
160000,5,18,22
160000,5,19,15
160000,5,20,16
160000,5,21,5
160000,5,22,3
160000,5,23,4
160000,6,1,21
160000,6,2,39
160000,6,3,32
160000,6,4,51
160000,6,5,85
160000,6,6,78
160000,6,7,80
160000,6,8,92
160000,6,9,63
160000,6,10,68
160000,6,11,81
160000,6,12,52
160000,6,13,45
160000,6,14,50
160000,6,15,43
160000,6,16,31
160000,6,17,25
160000,6,18,11
160000,6,19,11
160000,6,20,12
160000,6,21,5
160000,6,22,4
160000,6,23,2
160000,7,1,20
160000,7,2,46
160000,7,3,40
160000,7,4,56
160000,7,5,102
160000,7,6,85
160000,7,7,99
160000,7,8,79
160000,7,9,84
160000,7,10,92
160000,7,11,92
160000,7,12,57
160000,7,13,59
160000,7,14,44
160000,7,15,23
160000,7,16,31
160000,7,17,26
160000,7,18,18
160000,7,19,14
160000,7,20,18
160000,7,21,10
160000,7,22,5
160000,7,23,2
160000,8,1,29
160000,8,2,23
160000,8,3,39
160000,8,4,44
160000,8,5,81
160000,8,6,97
160000,8,7,103
160000,8,8,108
160000,8,9,71
160000,8,10,83
160000,8,11,79
160000,8,12,47
160000,8,13,43
160000,8,14,46
160000,8,15,30
160000,8,16,29
160000,8,17,29
160000,8,18,13
160000,8,19,7
160000,8,20,18
160000,8,21,7
160000,8,22,1
160000,8,23,3
160000,9,1,17
160000,9,2,36
160000,9,3,36
160000,9,4,52
160000,9,5,84
160000,9,6,89
160000,9,7,98
160000,9,8,82
160000,9,9,76
160000,9,10,71
160000,9,11,90
160000,9,12,66
160000,9,13,46
160000,9,14,46
160000,9,15,22
160000,9,16,38
160000,9,17,19
160000,9,18,14
160000,9,19,10
160000,9,20,14
160000,9,21,5
160000,9,22,4
160000,9,23,1
